,gender,a,boy,enquiry,feeling,for,have,he,her,his,inquiry,money,of,say,see,seem,she,the,this,upon,whisper,wish
Dickens_Dombey2,m,16.3890174302,0.4820299244,0,0.2313743637,5.389094555,12.4749344439,9.4381459201,11.7904519513,13.0533703532,0.0578435909,0.0578435909,20.5826777726,7.9631343514,1.9474008946,0.790529076,5.6204689187,40.8857781891,2.9500231374,2.4101496221,0.1638901743,0.5013111214
Dickens_Dombey3,m,15.7411844043,0.257324886,0,0.3992972369,5.8297396582,12.6177926849,8.7135530355,14.507799606,10.3639816146,0.0532396316,0.3371843334,20.9231752116,6.9566451933,2.3159239738,0.7098617544,8.2255230794,37.5073204493,3.3895898774,3.2298709826,0.1774654386,0.4614101404
Dickens_Dombey4,m,16.7276129734,0.2673362804,0,0.4010044206,5.251248365,13.3668140199,11.3713396412,10.282899071,11.5527464029,0.0286431729,0.286431729,21.0813752542,7.4758681268,1.9668312058,0.5346725608,5.6236096126,39.3270763913,3.5040148181,2.8165786685,0.286431729,0.5060293879
Dickens_Expectations,m,17.8418162008,0.9739176839,0,0.1645431703,6.0213906121,15.707202099,9.9481911369,5.1986747604,8.2449469682,0.0578124653,0.3424276788,19.8252284704,7.7468703444,3.1574500256,0.7604562738,4.0424254553,36.1150023347,3.3086518578,1.6231961399,0.1022835924,0.3424276788
Dickens_Hard,m,17.3807536554,0.2782157099,0,0.0850103558,5.927540264,13.8412315682,10.6726637609,9.3820519954,9.1038362855,0.0154564283,0.2704874957,20.3947571795,7.2722495286,2.3880181768,0.6723546323,6.491699898,33.0767566231,3.8950199388,2.2025410368,0.1468360691,0.4095953507
Dickens_Mutual1,m,19.0442412373,0.9175160758,0,0.123363506,5.389443168,11.4188345233,8.9746950608,6.07565267,9.1674505389,0.0385510956,0.5088744622,22.2208515166,7.3169979491,1.7039584265,0.8558343228,3.0455365541,38.5048343074,3.5775416737,1.6962482074,0.1387839442,0.4086416136
Dickens_Mutual2,m,17.0135498047,0.3662109375,0,0.2288818359,6.2789916992,13.0004882813,8.7356567383,7.438659668,9.7198486328,0.0381469727,0.6408691406,20.5764770508,7.9650878906,1.8920898438,0.7095336914,4.7607421875,35.7360839844,3.6087036133,1.7166137695,0.1068115234,0.4272460938
Dickens_Mutual3,m,17.2452298201,0.334994347,0,0.2093714669,6.1694792234,12.8903033095,10.0288932624,7.4675823179,10.5453428807,0.0558323912,0.5024915205,19.0248872884,8.3399634298,2.198400402,0.7397791829,4.0827436037,33.9949471686,3.6011892299,2.1076727664,0.132601929,0.4327010315
Dickens_Nicholas1,m,19.4410105849,1.8156532489,0,0.3766514718,5.5531947771,12.0528470988,9.020319864,4.1624816503,9.7446496176,0.1448659507,0.2993896315,23.3717067141,8.7402456927,1.6804450282,0.5311751526,2.7041644132,41.3640577919,3.8437765588,2.3564861315,0.1834968709,0.405624662
Dickens_Nicholas2,m,18.1703686741,0.4121822762,0,0.3434852301,5.5186626975,12.2051751775,7.2475383559,6.1369361117,8.7588733684,0.1488435997,0.2633386764,20.9297000229,9.3427982597,1.8548202427,0.5381268605,4.5454545455,39.6267460499,3.6180444241,2.4501946416,0.1946416304,0.2862376918
