,gender,a,boy,enquiry,feeling,for,have,he,her,his,inquiry,money,of,say,see,seem,she,the,this,upon,whisper,wish
ABronte_Agnes,w,15.7153959071,0.2343740363,0,0.4070706946,7.8083560512,12.5081722526,8.3757879285,9.1282519398,5.2919190299,0.0740128536,0.0986838048,20.0081414139,3.922681239,2.948178667,0.8018059136,7.6850012952,30.4562892422,2.1340372778,1.4679215957,0.0863483292,0.8388123404
ABronte_Tenant,w,13.6812446405,0.1568050962,0,0.4900159255,8.1195638858,11.9269876271,11.2556658091,8.6242802891,8.4968761485,0.0931030258,0.1274041406,18.3412960921,4.6698517702,2.5774837682,0.6517211809,6.8406223202,29.0530442239,2.7587896607,1.7346563763,0.191106211,0.9065294622
Austen_Emma,w,16.1260631052,0.131491056,0,0.6574552799,6.8427945531,17.5093490141,9.193854634,12.7072956497,5.9591746569,0.110452487,0.0473367802,22.500749499,4.5075133989,2.3615793654,1.0729670168,11.855233607,27.0030032557,2.6876771842,0.8205041893,0.0578560646,1.1360827237
Austen_Mansfield,w,16.4852205159,0.1176369936,0,1.010608718,8.1918124652,17.1536125251,8.2078538735,16.4424434273,7.1544680669,0.0641656329,0.069512769,25.5593104333,3.5772340335,2.5559310433,0.8234589554,11.9615433974,33.1255079779,2.7056508534,0.7432519143,0.0481242247,1.2084527527
Austen_Northanger,w,16.7667695146,0.0549010135,0,0.6588121617,7.8837855347,14.9769964754,5.9293094551,17.0632349873,5.7536262119,0.1537228377,0.2086238512,26.0011199807,3.557585673,2.3387831739,0.9991984452,11.9574407344,34.6205790959,3.1513181733,0.9552776344,0.1537228377,1.1639014856
Austen_Persuasion,w,16.2716443571,0.2046747718,0.1432723403,0.9926726432,7.2250194441,20.1297638053,9.8346227844,12.311187523,6.7440337304,0.0204674772,0.1637398174,26.2904744361,2.8552130664,2.7938106349,1.2587498465,11.7073969463,34.0374145483,2.5584346473,0.7368291784,0.0921036473,1.1154775062
Austen_Pride,w,13.5026030792,0.0417606281,0,0.7516913054,7.2802694953,16.2379242184,9.2847796431,15.4235919708,8.8184526295,0.2296834544,0.1809627217,25.0633369526,4.2247835407,2.7144408252,0.7377710961,11.8460981653,30.0606921128,3.1042066873,0.522007851,0.0904813608,1.2667390518
Austen_Sense,w,14.5517589297,0.0568428083,0.0710535104,0.6181655405,8.7680031832,14.7720248119,7.6311470168,17.7775883018,7.1550884971,0.2202658822,0.177633776,25.4584727758,4.2347892198,2.7071387462,0.9876437945,11.0132941118,29.0111482958,3.0410902451,0.6963244019,0.0710535104,1.2008043257
Bennet_Babylon,w,20.3224642041,0.1082902178,0,0.1082902178,5.1016724823,14.8598243292,12.9827938876,4.151125015,6.6418000241,0.0962579714,0.4211286247,22.6928167489,7.6525087234,2.4184815305,0.8542894958,4.8730598003,46.2038262544,3.5134159548,0.3008061605,0.2045481891,0.5294188425
Bennet_Helen,w,20.5679035308,0.1549955051,0,0.1859946062,5.2698471744,16.4450230943,19.3744381413,8.307759075,8.5557518832,0.0619982021,0.5269847174,22.8463374562,7.4087851452,2.2319352739,0.7439784246,12.0741498497,39.8338448185,2.4954276326,0.4339874144,0.1394959546,0.2479928082
Bennet_Imperial1,w,20.7861759408,0.1830108169,0.0577928895,0.0770571861,5.5192209518,15.7678266984,15.4210693611,8.1680617228,7.5516042343,0,0.1926429652,24.3789672411,5.6348067309,2.5717835849,0.558664599,9.0927479556,46.812240534,2.3213477302,0.4045502268,0.0192642965,0.2022751134
Bennet_Imperial2,w,18.9575855619,0.0606642738,0.0909964107,0.0909964107,6.1270916536,17.713967949,14.306657904,8.1492341135,6.612405844,0,0.1112178353,23.4265203984,6.410191598,2.3355745412,0.6571962995,10.3938122441,48.1674333957,2.2850209797,0.2527678075,0.0606642738,0.3134320813
Bennet_Imperial3,w,16.6252696847,0.0906503254,0.0815852929,0.0725202603,6.5630835615,19.3085193176,18.764617365,11.5125913302,7.5330420436,0,0.099715358,20.233152637,5.6928404373,2.5654042098,0.4441865946,15.4649455192,42.7778885726,2.2209329731,0.2810160088,0.1541055532,0.1722356183
Bennett_Agnes,w,13.4115432801,0.1443343013,0.1905212778,0.1905212778,5.403876242,12.753378866,6.5065903042,13.9542402531,8.4464433141,0,0.1385609293,27.9027071342,2.6903913769,1.7955187086,0.2309348821,6.7894855348,44.5935257406,3.2099948617,0.103920697,0.0692804646,0.756311739
Burney_Camilla1,w,14.7435298514,0.3643838176,0.0747453985,0.2802952443,8.5583481267,12.5011678969,12.3890497991,15.1826590676,10.9034850042,0.0560590489,0.196206671,23.3018779781,4.4099785107,2.1676165561,0.5045314398,9.137624965,35.158366813,3.7466130991,2.6814911707,0.1868634962,0.7567971597
Burney_Camilla2,w,15.2241724475,0.1769169887,0.102425625,0.2979654546,8.2312956842,12.8963173332,10.7826248894,15.7921690954,7.1604823316,0.1676055682,0.2420969319,20.1964709716,4.236696308,2.7003119326,0.6704222729,11.6206527306,33.6607849527,4.1622049444,3.2496857396,0.1582941478,0.8287164207
Burney_Camilla3,w,14.8721266692,0.2695853777,0,0.3684333495,8.1414784062,12.3200517604,11.2417102496,17.5230495498,9.8937833612,0.1258065096,0.2965439155,22.8069229525,3.154148919,3.1271903812,0.8267284916,11.9695907694,34.1025502777,4.0797253824,3.2440107115,0.0898617926,0.7188943405
Burney_Camilla4,w,12.9234293738,0.0923761928,0.1570395278,0.4711185833,8.6556492661,13.6162508198,9.7641635798,21.5236529242,7.9166397236,0.0184752386,0.3602671519,22.3642762787,3.0484143627,2.3740681552,1.2101281258,15.9995565943,34.7796365921,4.3693939198,3.4733448496,0.1108514314,0.7297719232
Burney_Cecilia1,w,12.8807234408,0.159021277,0.2968397172,0.1166156032,8.5447432867,14.4921390482,13.1033532287,16.0293447263,10.2727744972,0.0212028369,0.7102950375,23.7471773723,3.7104964644,2.3853191557,1.0813446839,11.2269021595,34.7832539994,3.6468879536,3.000201427,0.0424056739,0.8587148961
Burney_Cecilia2,w,12.615458435,0.0199928026,0.2399136311,0.0699748091,9.1367107841,14.1249150306,12.2955735935,17.5936662801,9.9064336839,0,0.3698668479,20.532608261,4.8482546283,2.2891758967,1.0696149386,12.4055340078,29.1794953817,4.2884561558,2.5390859291,0.0899676117,0.9896437283
Burney_Cecilia3,w,11.0831234257,0.0093292285,0.177255341,0.1959137979,7.9298442019,14.068476537,8.8814255061,16.5220636253,6.3438753615,0,0.0653045993,19.0502845415,3.7783375315,2.2576732904,0.8956059334,12.7437260939,27.2600055975,4.3194327829,2.5748670585,0.0373169139,1.203470473
Burney_Cecilia4,w,12.9329042541,0.0201761377,0.2421136522,0.1714971703,8.3630090692,14.0930321709,10.5622080765,20.0248166493,8.1511596235,0,0.4136108225,20.2467541639,3.9545229857,2.1891109385,0.6456364058,13.8206543121,28.0347433091,4.7716565618,2.9053638262,0.0907926196,0.8574858515
Burney_Darblay1,w,14.8234300573,0.0444480661,0,0.0666720992,7.7487795302,13.6381482936,10.9934883583,9.1118535584,4.5040707021,0.1259361874,0.0592640882,17.3273377831,6.0078969398,2.6891080014,0.8963693338,8.5414367097,27.5207609509,3.9040218092,2.2149952959,0.1259361874,0.948225411
Burney_Darblay2,w,14.2407037684,0.023396556,0.015597704,0.2261667083,7.5570875967,13.3984277514,11.261542301,7.2997254804,6.7928000998,0.1091839281,0.023396556,18.3039056651,3.5874719241,2.9245695034,1.0294484652,5.8413401547,35.7031444971,4.7884951335,2.636011979,0.1793735962,0.881270277
Burney_Darblay3,w,13.9184425318,0.047638708,0,0.1667354781,7.1061072824,14.1645758567,14.5139263823,6.3835868771,7.7015911328,0.2381935402,0.0317591387,20.1432337155,3.4696859021,3.3188299933,1.1512687776,5.4069933623,37.0946739924,5.3037761616,2.1596214311,0.0793978467,0.7860386826
Burney_Darblay4,w,14.5033557047,0.2818791946,0,0.2953020134,8.0872483221,13.1140939597,7.966442953,7.0738255034,8.2684563758,0.1677852349,0.0402684564,25.1208053691,2.1812080537,2.0134228188,1.0402684564,5.255033557,37.0939597315,4.1677852349,2.322147651,0.1006711409,0.7919463087
Burney_Evelina,w,12.2113376895,0.0415528292,0.1142702804,0.1714054206,8.185907358,14.2578145289,10.3466544778,6.8458286154,5.5421085983,0.0623292438,0.1662113169,17.8469401535,5.3395385558,2.7269044181,1.1582851147,5.7446786408,28.8999927283,4.331882447,2.1607471199,0.0571351402,0.9868796942
Burney_Wanderer1,w,14.5576021331,0.0306475834,0.1838855006,0.5823040853,7.764054471,11.400901039,5.2100891845,19.2671141214,3.6164148457,0.0204317223,0.0817268892,22.0866917977,3.6061989845,1.8082074228,1.2974143655,15.1194744961,34.2639982837,4.2293665145,3.3814500393,0.1225903338,0.7151102802
Burney_Wanderer2,w,14.1762198637,0.0756065059,0.1795654516,0.3685817165,8.2789124004,11.964729565,6.0390696619,18.5330447685,3.8370301764,0.0189016265,0.6521061137,22.6535993422,3.0431618641,2.0886297266,0.7560650594,14.6393097126,32.7092646322,3.7992269235,3.5724074057,0.1984670781,0.5386963548
Burney_Wanderer3,w,15.6723568174,0.4497370016,0.1564302614,0.459513893,7.2740071567,12.2308910659,6.1985491093,15.7407950568,5.0937603879,0,0.1955378268,23.836061086,2.3366770302,2.0629240727,0.7137130678,11.7811540643,34.0920201013,3.5881191216,3.3241430555,0.1075458047,0.5572828064
